Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2216,285,25,150,79,1168,144,230,223,730,Cache,C4703,5
2918,158,17,0,0,2203,236,240,128,2937,Commanche,C6102,0
2989,77,15,30,-1,242,238,212,101,1371,Commanche,C7700,1
3188,359,14,277,37,2912,199,214,152,693,Commanche,C7201,0
2462,317,17,255,68,395,174,223,188,1371,Commanche,C4703,1
3233,30,4,42,0,3407,218,231,149,1965,Rawah,C8771,6
2654,301,31,201,65,953,121,211,222,1080,Commanche,C7700,1
2937,82,2,60,-1,1719,221,236,151,218,Commanche,C7756,1
2957,135,8,108,24,1176,233,237,136,2256,Rawah,C7202,1
3250,314,20,618,32,3675,162,220,196,1341,Commanche,C7201,0
3090,188,14,631,89,1588,221,250,159,604,Commanche,C4758,1
3228,62,19,212,37,5660,233,198,91,1233,Rawah,C7745,1
3018,20,14,153,23,1132,209,209,134,400,Commanche,C7700,0
2987,188,7,391,11,5168,221,245,159,1542,Rawah,C7746,1
2825,79,21,408,169,421,242,197,75,1652,Rawah,C7746,4
2941,250,9,408,77,1766,201,247,184,1114,Commanche,C7755,1
3215,43,11,192,13,1466,222,216,127,577,Commanche,C7756,1
2871,22,10,30,2,1429,214,218,140,2639,Commanche,C4704,1
2984,303,5,769,172,1148,206,237,170,2277,Commanche,C7756,1
3149,69,3,404,11,5778,223,233,145,938,Rawah,C7101,0
3371,202,17,743,225,1209,210,253,173,4224,Neota,C7757,1
2957,8,7,295,34,1537,212,227,152,764,Commanche,C7755,1
2324,18,7,446,143,1207,215,226,148,1194,Cache,C2717,2
2380,11,7,402,155,534,213,225,150,1800,Cache,C2717,2
2764,317,18,190,26,2006,170,222,190,553,Commanche,C7757,1
2848,307,14,234,-35,1433,181,231,190,1410,Commanche,C7756,1
3096,166,15,67,13,6163,232,244,139,2329,Rawah,C7745,0
2977,220,22,170,46,2571,189,254,194,1318,Commanche,C4758,1
2824,41,5,342,73,2651,221,228,143,2688,Rawah,C7745,1
3102,94,11,283,45,3589,238,223,115,726,Rawah,C7745,1
2932,31,4,242,12,1254,219,230,148,371,Commanche,C7756,0
3218,195,13,342,55,2822,217,250,165,899,Commanche,C7756,1
2802,63,14,124,0,3260,232,211,109,2531,Rawah,C4744,1
2784,87,15,255,35,3089,241,214,98,2471,Rawah,C4744,1
2361,339,25,85,35,216,158,194,170,234,Commanche,C4703,5
3217,209,7,420,69,834,215,247,168,492,Commanche,C7756,0
3257,318,12,0,0,4563,189,229,180,752,Commanche,C7756,0
3065,318,22,268,64,2550,156,213,195,2325,Commanche,C7700,0
