Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type
3007,20,9,319,58,2122,214,221,143,700,Rawah,C7746
2644,316,17,134,30,902,174,224,189,1745,Rawah,C7745
3125,339,13,469,79,5122,191,221,168,751,Rawah,C7745
2788,47,9,85,15,3097,223,220,131,5622,Rawah,C4744
3277,36,2,618,86,5902,219,234,152,2833,Rawah,C7745
3134,70,7,365,38,5623,228,226,132,882,Rawah,C7101
2674,172,19,30,14,960,229,245,140,1911,Rawah,C7746
3039,282,18,335,60,5927,167,238,210,1798,Rawah,C7745
3128,12,6,300,30,2080,214,228,151,2201,Rawah,C7745
3316,207,18,531,172,1252,205,254,178,4311,Neota,C7757
3205,47,13,488,53,4565,224,212,120,2549,Rawah,C7745
3232,94,12,30,14,1814,238,222,113,1682,Neota,C7202
3026,53,14,382,49,4959,227,208,111,3697,Rawah,C7745
2998,76,11,631,26,5584,234,220,117,6438,Rawah,C7102
3119,38,22,210,81,3537,214,185,96,1530,Commanche,C7755
3101,197,11,120,10,2122,217,249,165,684,Commanche,C7756
3075,321,13,446,67,1266,186,227,180,2338,Commanche,C7201
3260,288,18,382,66,4102,168,236,206,1637,Commanche,C8772
3015,259,2,525,100,2717,213,240,165,1549,Commanche,C7756
3122,295,26,270,91,2804,138,223,220,2648,Rawah,C7700
2886,145,11,95,16,4243,236,238,132,5911,Rawah,C7746
2103,78,33,283,88,540,241,162,26,564,Cache,C2717
3092,167,3,511,29,331,222,240,154,1358,Commanche,C7756
2973,300,14,216,60,1531,180,234,194,1690,Commanche,C7756
2716,22,17,300,38,3373,207,200,126,2987,Commanche,C4703
3248,32,13,150,36,1315,216,211,128,2401,Rawah,C7202
3312,276,13,124,20,3072,185,242,197,875,Commanche,C7756
3260,194,12,297,34,3446,218,250,164,1861,Rawah,C7745
3246,184,16,592,23,2882,222,249,156,2914,Commanche,C7757
3281,176,12,470,65,4233,226,246,150,2197,Commanche,C7757
2959,339,7,120,18,2148,206,231,163,480,Commanche,C7756
3128,303,5,30,1,4484,206,237,170,3450,Rawah,C7201
3129,297,15,384,45,3166,178,234,196,1718,Commanche,C7757
3165,311,9,124,-14,1945,196,234,177,1822,Rawah,C7745
3117,10,25,242,39,2416,185,182,126,807,Commanche,C7757
2825,84,18,180,51,966,242,207,88,1879,Rawah,C7746
2853,255,20,351,131,2372,170,248,214,430,Commanche,C7757
2599,42,17,108,21,953,220,199,109,1440,Commanche,C4704
2681,162,28,108,44,1575,234,234,111,1190,Commanche,C4758
2612,85,8,60,2,693,232,227,128,1557,Rawah,C4744
2818,56,12,190,37,1438,228,215,118,1249,Commanche,C4703
2931,28,4,60,-4,1830,218,232,150,361,Commanche,C7756
3134,171,10,607,60,365,227,245,149,1816,Commanche,C7202
3060,88,11,1155,262,3186,236,222,116,1068,Commanche,C7756
2528,161,25,0,0,1342,235,236,116,402,Commanche,C2705
3005,339,9,424,64,4861,200,227,166,1678,Rawah,C7745
2843,10,23,342,30,3162,189,187,129,2400,Commanche,C4703
3167,354,9,218,-18,1518,206,225,158,849,Neota,C7756
3162,77,30,532,49,797,242,171,38,1710,Rawah,C7746
2495,306,11,277,84,480,190,234,184,1697,Cache,C2717
3244,7,15,0,0,2023,201,209,144,1889,Neota,C7202
3143,347,16,108,24,1148,188,212,162,443,Commanche,C7755
3171,126,2,518,63,5604,223,237,151,1243,Rawah,C7745
3168,156,9,30,1,636,230,241,143,1377,Rawah,C7202
3042,350,5,30,1,3008,210,231,159,2612,Rawah,C7202
2681,145,8,531,81,1121,231,239,141,2695,Rawah,C4744
2365,326,17,127,37,1470,176,219,182,361,Cache,C4703
3095,261,14,153,29,5567,184,247,201,2495,Rawah,C7201
2848,341,12,124,31,2466,194,222,166,2138,Rawah,C7745
3292,50,15,366,110,1120,226,206,110,1785,Rawah,C7201
3002,52,8,258,5,2684,225,223,132,1361,Rawah,C7745
3255,105,5,210,0,815,229,233,138,1878,Rawah,C7202
2524,75,11,283,16,711,233,220,117,1110,Cache,C2717
3193,156,19,319,102,5118,238,239,123,1643,Rawah,C7745
3185,336,3,90,5,4480,213,235,160,942,Commanche,C7202
2822,200,7,180,12,2058,218,246,164,2391,Rawah,C7746
2983,200,24,90,-2,2245,203,253,172,1825,Commanche,C7757
3267,156,6,558,99,3730,227,241,148,2326,Rawah,C8776
2763,88,9,30,-1,808,234,226,124,1495,Commanche,C7202
2939,47,15,170,36,4565,224,205,111,3744,Rawah,C7745
3230,182,24,150,24,1950,220,247,147,1577,Commanche,C7757
3345,51,15,201,36,2212,226,207,111,1826,Commanche,C7755
3244,17,15,825,54,2049,206,207,135,589,Commanche,C7201
3276,93,19,552,142,960,246,207,81,5403,Neota,C7700
2511,163,22,190,-38,1342,234,240,123,1289,Commanche,C2705
2805,58,6,170,14,2364,225,227,137,2176,Rawah,C4744
2875,354,4,162,8,3548,212,232,157,3362,Rawah,C7202
2948,171,9,234,46,3373,226,244,150,1771,Rawah,C7746
3104,63,11,108,11,5202,230,218,121,841,Rawah,C7745
3197,90,2,30,0,5572,222,236,150,955,Rawah,C7101
3328,303,7,323,60,3219,202,237,174,1782,Rawah,C8771
3134,50,11,108,17,760,225,217,125,1935,Commanche,C7201
2840,108,11,532,110,2732,239,227,117,1908,Commanche,C7756
3108,152,9,240,17,1451,232,240,139,3391,Commanche,C7757
2905,76,24,60,5,242,241,186,61,1231,Rawah,C7745
2616,27,7,0,0,384,217,224,143,1370,Commanche,C7202
2712,37,29,60,26,1683,205,163,76,1100,Commanche,C7757
2411,306,13,351,67,955,183,232,189,1463,Cache,C4704
3213,241,23,309,76,785,169,251,214,4814,Neota,C7201
3333,329,11,120,16,2395,193,227,173,2366,Commanche,C7201
2949,233,14,390,43,5698,196,252,192,2402,Rawah,C7746
2792,112,14,134,39,1982,244,224,106,806,Commanche,C7755
2983,67,7,365,-15,4863,228,226,132,2905,Rawah,C7746
3182,47,17,95,-7,1493,224,201,107,2708,Rawah,C7745
3139,78,10,67,7,6432,234,221,118,2143,Rawah,C7745
2578,117,30,234,17,1405,254,196,45,1136,Commanche,C2705
3335,100,32,690,49,990,252,178,27,5520,Neota,C8776
3116,220,7,42,4,1660,212,247,172,2375,Commanche,C7756
2904,35,16,134,24,3293,217,204,118,4566,Rawah,C4744
3171,107,7,531,-23,711,233,232,131,999,Neota,C7756
2658,211,16,90,9,3314,205,253,179,2002,Commanche,C7702
3170,98,10,384,34,4595,237,225,118,2092,Rawah,C7745
2583,77,16,150,27,680,238,210,98,2215,Rawah,C7746
2975,325,15,85,16,2241,181,222,180,618,Rawah,C7745
2930,53,5,0,0,1150,223,229,142,2336,Rawah,C7202
2950,352,18,30,11,1812,185,205,156,495,Commanche,C7755
2866,47,8,212,55,864,223,223,135,513,Commanche,C7757
2516,44,13,277,71,376,222,210,120,1047,Commanche,C2703
2947,120,9,361,81,3561,236,232,127,2611,Rawah,C7745
2969,335,11,30,3,2642,196,226,169,837,Commanche,C7102
2996,58,4,0,0,834,223,230,143,1476,Commanche,C7202
3306,17,16,743,188,3200,205,205,133,743,Commanche,C7700
2663,268,18,30,10,1487,170,244,211,902,Commanche,C7757
3233,180,14,212,26,4351,225,248,153,2333,Commanche,C7757
3184,299,22,300,113,4334,154,226,210,1142,Rawah,C7745
3195,340,23,698,79,3059,166,201,169,2741,Commanche,C7700
3240,46,18,591,16,1150,223,197,103,2059,Rawah,C7745
2781,13,14,330,150,1387,206,211,141,2098,Commanche,C7757
3091,316,15,361,-21,2215,180,226,186,591,Commanche,C7201
3025,45,1,283,4,1383,219,236,154,1302,Commanche,C7756
2237,323,24,67,21,1524,152,208,191,331,Cache,C4703
3026,81,24,95,25,2088,244,189,61,2912,Commanche,C7757
2428,350,21,182,40,607,177,199,157,1302,Cache,C4703
3041,65,10,446,66,2896,230,221,123,6503,Rawah,C7745
2562,211,27,134,81,1566,186,253,188,1240,Commanche,C2704
3050,128,16,127,16,3858,245,228,107,2701,Rawah,C7745
2958,322,12,255,38,4833,190,228,178,1967,Rawah,C7745
3134,93,13,351,96,277,241,219,106,1663,Rawah,C7201
3185,211,12,319,6,2852,210,251,176,841,Commanche,C7756
3050,52,17,537,134,4526,226,202,104,3822,Rawah,C7745
2742,32,25,270,111,1256,206,178,96,1966,Commanche,C7757
2735,77,16,60,-12,2372,239,209,96,510,Commanche,C4703
3167,280,7,570,59,5708,201,241,179,1273,Rawah,C7745
3214,287,13,371,39,510,183,239,196,1092,Commanche,C7756
3106,312,11,162,1,2337,190,232,182,874,Commanche,C7202
2707,208,22,228,-21,1423,200,254,181,1063,Commanche,C2704
2969,79,17,90,14,430,240,206,90,1355,Rawah,C7745
3109,160,8,421,50,481,228,242,146,1276,Commanche,C7756
2955,10,18,108,22,732,198,201,137,1871,Commanche,C7755
2930,111,4,450,8,4038,227,235,143,4370,Rawah,C7202
3116,143,10,67,7,3468,235,238,133,5076,Rawah,C7746
2480,356,9,402,68,430,205,224,156,1019,Cache,C2717
2930,116,15,228,22,741,245,224,104,2402,Commanche,C7756
3031,344,3,0,0,3539,213,234,159,301,Rawah,C7202
3377,90,2,499,38,1440,222,236,150,2387,Commanche,C7756
3233,135,2,700,34,4759,223,238,151,2568,Rawah,C8771
3018,14,20,711,35,2496,198,196,130,2225,Commanche,C7700
2975,20,7,655,163,1207,215,225,147,2391,Commanche,C7756
1931,214,7,0,0,30,213,247,0,433,Cache,C2702
3016,96,13,234,14,4395,240,221,109,738,Rawah,C7745
2292,60,35,60,41,1008,223,147,28,1124,Cache,C2705
2953,326,22,360,99,5148,161,210,186,551,Rawah,C7745
3159,279,17,85,15,3978,171,240,208,1302,Commanche,C8772
3076,294,22,450,286,1024,153,228,213,1328,Commanche,C7757
3133,119,20,242,31,127,249,219,89,4336,Neota,C7201
2982,60,20,124,31,680,231,195,88,644,Rawah,C7745
3449,310,16,616,80,2047,175,228,192,474,Commanche,C8772
2580,85,28,361,161,875,246,182,46,914,Commanche,C4703
2956,110,11,589,177,939,239,228,118,1209,Rawah,C7745
2933,37,14,708,11,1087,219,209,123,685,Commanche,C7755
2964,101,2,90,0,5085,223,236,148,2624,Rawah,C7101
3440,265,14,1207,317,4053,183,245,201,2664,Commanche,C8776
3232,45,2,376,23,5475,219,235,152,1302,Rawah,C7202
3178,54,15,285,36,3000,228,207,110,4504,Rawah,C7745
3107,34,9,509,51,5240,219,221,138,1615,Rawah,C7102
3373,96,20,108,-18,3667,248,206,77,2680,Rawah,C8776
3154,49,5,124,-3,4677,222,228,141,1380,Rawah,C7745
2922,253,13,330,26,5724,189,248,197,6405,Rawah,C7745
3473,281,7,750,219,997,200,241,180,1114,Neota,C8776
2899,78,11,594,146,1513,234,220,116,895,Commanche,C7756
3313,143,19,90,18,916,243,233,110,1213,Neota,C7700
3062,355,23,391,-6,1115,177,193,149,3417,Commanche,C7700
3271,314,14,485,142,3670,182,228,186,1987,Commanche,C7757
3280,59,18,247,71,1702,231,201,97,2760,Rawah,C7745
2803,203,14,30,7,1351,212,252,172,2763,Commanche,C7102
2675,43,9,30,0,1401,222,220,133,658,Commanche,C7755
2977,26,18,60,16,1443,209,198,120,1348,Commanche,C7755
2647,83,18,30,16,2513,242,206,88,1106,Commanche,C4703
2944,20,6,0,0,3032,216,228,149,1266,Commanche,C7102
3029,8,5,42,1,4677,214,230,153,812,Rawah,C7745
2193,309,19,256,129,618,166,225,198,451,Cache,C4703
3371,201,33,738,-95,3660,186,247,172,2397,Rawah,C8772
3405,176,11,1065,56,3248,226,246,152,1170,Commanche,C8771
3151,290,15,30,12,4454,176,237,201,3582,Rawah,C7201
2172,111,26,85,46,1209,253,202,59,573,Cache,C2704
2931,322,15,127,26,3019,180,223,183,2221,Rawah,C7745
3023,111,9,636,217,641,236,230,125,1153,Rawah,C7745
3019,170,19,162,16,592,230,244,137,1677,Rawah,C7746
3137,269,13,134,0,2420,185,244,199,648,Commanche,C7756
2965,353,8,108,21,1026,206,226,158,2135,Commanche,C7756
2349,286,16,30,8,212,173,238,204,779,Cache,C4703
2324,14,12,192,54,467,209,216,143,577,Cache,C4703
3260,86,4,726,69,3629,225,233,144,2580,Rawah,C8771
2912,4,14,451,114,3271,201,213,148,685,Commanche,C4703
2577,120,16,108,38,150,246,225,103,1618,Rawah,C7746
3019,329,17,85,29,1312,178,218,179,1412,Commanche,C7202
2900,68,9,218,33,4110,229,223,126,6275,Rawah,C4744
3014,329,13,30,3,2439,189,225,175,977,Commanche,C7201
3029,60,8,180,-7,658,227,223,131,1284,Commanche,C7202
3104,249,3,0,0,4250,212,242,167,1396,Rawah,C7201
2530,103,36,90,43,726,252,170,13,1050,Cache,C2705
2750,90,5,0,0,1907,227,232,139,872,Rawah,C4744
2752,85,5,85,11,1725,228,231,137,741,Rawah,C7745
2553,25,11,242,27,655,215,217,138,942,Cache,C2717
3049,237,7,495,103,3031,209,246,175,1057,Commanche,C7756
3061,13,13,371,-1,2423,207,212,141,1234,Commanche,C7202
2806,238,15,361,92,362,191,252,196,2016,Commanche,C4703
2625,48,13,67,4,976,224,211,119,1674,Commanche,C7757
3191,293,20,60,27,4897,159,231,210,872,Rawah,C7201
3227,322,3,67,5,511,212,236,162,1123,Neota,C7700
2822,310,16,330,174,1265,174,227,192,1421,Commanche,C7700
2863,98,7,541,62,2674,232,230,130,2821,Rawah,C4744
2460,176,22,443,190,1044,225,245,140,570,Cache,C2703
3078,278,13,256,53,1537,185,242,196,1358,Commanche,C7202
2962,90,15,365,46,4603,242,215,99,2062,Rawah,C7745
2991,105,16,127,33,484,246,218,96,1506,Commanche,C7757
3089,28,9,240,13,1458,217,220,139,2958,Commanche,C7755
3220,153,11,301,29,5783,233,241,138,3212,Rawah,C7745
3117,115,10,30,-3,1959,237,231,123,481,Rawah,C7202
3361,324,10,0,0,4345,195,229,174,4179,Rawah,C8776
3001,107,16,175,49,4101,245,220,99,2270,Rawah,C7745
2895,149,12,150,23,3315,236,239,131,2889,Rawah,C7745
3022,322,14,108,13,2821,183,225,181,2307,Commanche,C7700
3171,319,9,60,-7,876,197,232,175,953,Neota,C7201
3188,56,5,648,95,3072,224,228,140,3444,Rawah,C7746
2902,74,18,150,33,1928,239,202,88,2154,Commanche,C7756
2225,313,32,95,51,1383,118,196,209,671,Cache,C4703
2878,190,25,242,120,1461,211,249,157,1798,Commanche,C4758
2863,91,26,120,36,5436,249,190,53,4446,Rawah,C7745
2898,67,17,636,130,684,234,204,96,2337,Rawah,C7745
